well,elapsed,buildup,buildup(m)
PW-1,"1,278.00",0.05020232,0.01530092
PW-1,"1,298.00",0.04980862,0.015180927
PW-1,"1,318.00",0.04264545,0.012997699
PW-1,"1,338.00",0.05653434,0.017230826
PW-1,"1,358.00",0.05702647,0.01738082
PW-1,"1,378.00",0.05751859,0.017530811
PW-1,"1,398.00",0.05801072,0.017680805
PW-1,"1,418.00",0.06424432,0.019580713
PW-1,"1,438.00",0.06473644,0.019730704
PW-1,"1,458.00",0.06522857,0.019880698
PW-1,"1,478.00",0.07146216,0.021780603
PW-1,"1,498.00",0.07195429,0.021930597
PW-1,"1,518.00",0.07244642,0.022080591
PW-1,"1,538.00",0.08059384,0.024563804
PW-1,"1,558.00",0.07343067,0.022380576
PW-1,"1,578.00",0.08157809,0.024863788
PW-1,"1,598.00",0.08207021,0.025013779
PW-1,"1,618.00",0.08830381,0.026913688
PW-1,"1,638.00",0.08879594,0.027063682
PW-1,"1,658.00",0.08928806,0.027213673
PW-1,"1,678.00",0.09552166,0.029113581
PW-1,"1,698.00",0.09601378,0.029263572
PW-1,"1,718.00",0.10224738,0.031163481
PW-1,"1,738.00",0.10273951,0.031313475
PW-1,"1,758.00",0.10323163,0.031463465
PW-1,"1,778.00",0.10946523,0.033363374
PW-1,"1,798.00",0.10995735,0.033513365
PW-1,"1,818.00",0.11810477,0.035996577
PW-1,"1,838.00",0.12433837,0.037896486
PW-1,"1,858.00",0.12483049,0.038046477
PW-1,"1,878.00",0.12532262,0.038196471
PW-1,"1,898.00",0.13155075,0.040094712
PW-1,"1,918.00",0.13198819,0.040228037
PW-1,"1,938.00",0.13816711,0.04211128
PW-1,"1,958.00",0.13860455,0.042244605
PW-1,"1,978.00",0.14669729,0.044711152
PW-1,"1,998.00",0.14713474,0.04484448
PW-1,"2,018.00",0.15331365,0.04672772
PW-1,"2,038.00",0.1537511,0.046861048
PW-1,"2,058.00",0.15418854,0.046994374
PW-1,"2,078.00",0.16036746,0.048877617
PW-1,"2,098.00",0.16080491,0.049010945
PW-1,"2,118.00",0.16698382,0.050894185
PW-1,"2,138.00",0.17507656,0.053360731
PW-1,"2,158.00",0.16785871,0.051160838
PW-1,"2,178.00",0.17595145,0.053627385
PW-1,"2,198.00",0.18208662,0.055497294
PW-1,"2,218.00",0.17634515,0.053747379
PW-1,"2,238.00",0.18208662,0.055497294
PW-1,"2,258.00",0.18208662,0.055497294
PW-1,"2,278.00",0.19356956,0.058997123
PW-1,"2,298.00",0.18782809,0.057247208
PW-1,"2,318.00",0.19356956,0.058997123
PW-1,"2,338.00",0.19931103,0.060747037
PW-1,"2,358.00",0.19931103,0.060747037
PW-1,"2,378.00",0.19931103,0.060747037
PW-1,"2,398.00",0.19931103,0.060747037
PW-1,"2,418.00",0.20696632,0.063080256
PW-1,"2,438.00",0.20696632,0.063080256
PW-1,"2,458.00",0.21270779,0.064830171
PW-1,"2,478.00",0.21270779,0.064830171
PW-1,"2,498.00",0.21845473,0.066581753
PW-1,"2,518.00",0.21850941,0.066598418
PW-1,"2,538.00",0.21856409,0.066615084
PW-1,"2,558.00",0.22436024,0.068381664
PW-1,"2,578.00",0.22441493,0.068398333
PW-1,"2,598.00",0.2321249,0.070748217
PW-1,"2,618.00",0.23217958,0.070764883
PW-1,"2,638.00",0.23223426,0.070781548
PW-1,"2,658.00",0.23228894,0.070798214
PW-1,"2,678.00",0.23808509,0.072564794
PW-1,"2,698.00",0.24388124,0.074331375
PW-1,"2,718.00",0.24393592,0.07434804
PW-1,"2,738.00",0.24973207,0.076114621
PW-1,"2,758.00",0.25552822,0.077881201
PW-1,"2,778.00",0.2555829,0.077897867
PW-1,"2,798.00",0.26333116,0.080259421
PW-1,"2,818.00",0.26951007,0.082142661
PW-1,"2,838.00",0.26994752,0.082275989
PW-1,"2,858.00",0.26464349,0.0806594
PW-1,"2,878.00",0.27656388,0.084292557
PW-1,"2,898.00",0.27700132,0.084425882
PW-1,"2,918.00",0.28318024,0.086309125
PW-1,"2,938.00",0.29127298,0.088775672
PW-1,"2,958.00",0.28405513,0.086575779
PW-1,"2,978.00",0.29214787,0.089042326
PW-1,"2,998.00",0.29832678,0.090925565
PW-1,"3,018.00",0.3045057,0.092808808
PW-1,"3,038.00",0.30494314,0.092942133
PW-1,"3,058.00",0.30538059,0.093075462
PW-1,"3,078.00",0.3115595,0.094958702
PW-1,"3,098.00",0.3119532,0.095078696
PW-1,"3,118.00",0.32534997,0.099161832
PW-1,"3,138.00",0.31769467,0.09682861
PW-1,"3,158.00",0.32534997,0.099161832
PW-1,"3,178.00",0.32534997,0.099161832
